10
30
W W W W S W W S W S W W W W S W S W F W W W W W W W W W W F
F W W W W W W W S F W W S W W S W S W F W W W W S W W W W W
W W F W W W W W W F W W W W S W W W W F W W S S W S F W W W
W W W F W W W W W F W W W W F W W W W W F W W W W F S W W W
W W W W W W S W W W S F F S F W F W W W W W F W W W W W W W
W W W W S W S F S W F W S W W W W W W F W W W W W W S F S W
W F W W W S F W W W W S W W S S W W S W W W F W W S S W S F
S W W F S W W W W W W W W W S W S W W F W S W W W W F W W W
W W W F W W S W W S W F S W W W W W W W W W W F S W W W W S
W W W F W W W W W W W W W F W W W F F F W W W W F W W W W W
